Country Name,Date,CO2 emissions (metric tons per capita),"Current health expenditure per capita, PPP (current international $)","Immunization, HepB3 (% of one-year-old children)","Mortality rate, under-5 (per 1,000 live births)",People using safely managed drinking water services (% of population),Prevalence of undernourishment (% of population)
Austria,1997,8.05969748398634,,,6.0,,
Austria,1998,8.10727223698659,,,5.8,,
Austria,1999,7.88881932213959,,,5.6,,
Austria,2000,7.92978551259517,2708.02954102,33.0,5.5,96.45434703,
Austria,2001,8.44410916140459,2761.80102539,44.0,5.4,96.66067317,2.5
Austria,2002,8.58331713469893,2935.81860352,81.0,5.3,96.86700222,2.5
Austria,2003,9.16834402049986,3073.73071289,83.0,5.2,97.07332836,2.5
Austria,2004,9.27561372624409,3288.34643555,83.0,5.1,97.27965449,2.5
Austria,2005,9.26611381933193,3381.65991211,86.0,4.9,97.48597486,2.5
Austria,2006,8.96156938002267,3591.06030273,83.0,4.7,97.69230677,2.5
Austria,2007,8.58780201813347,3759.67285156,85.0,4.6,97.89862716,2.5
Austria,2008,8.49967361637859,4024.80249023,83.0,4.5,98.10495617,2.5
Austria,2009,7.7211442011774,4191.47314453,83.0,4.5,98.31128232,2.5
Austria,2010,8.36501501063443,4303.11962891,86.0,4.3,98.51761132,2.5
Austria,2011,8.13547478127942,4465.65917969,89.0,4.2,98.72393746,2.5
Austria,2012,7.72361441429771,4750.58154297,92.0,4.0,98.91425332,2.5
Austria,2013,7.75369957604068,4945.44970703,95.0,3.9,98.91264679,2.5
Austria,2014,7.25338378134494,5082.53710938,98.0,3.8,98.91103181,2.5
Austria,2015,7.3067452655704,5204.62207031,93.0,3.7,98.90942251,2.5
Austria,2016,7.25562651573804,5476.67773438,87.0,3.6,98.90780749,2.5
Austria,2017,7.48275147921596,5641.17529297,90.0,3.6,98.90619826,2.5
Austria,2018,7.14663762463773,5898.35302734,85.0,3.6,98.90447548,2.5
Belgium,1997,11.4563592173649,,2.0,6.6,,
Belgium,1998,11.7034113861324,,31.0,6.3,,
Belgium,1999,11.295253988713,,46.0,6.0,,
Belgium,2000,11.4405560297525,2226.14428711,60.0,5.8,99.41810223,
Belgium,2001,11.5043206822099,2352.50561523,60.0,5.6,99.41809458,2.5
Belgium,2002,10.7279886303644,2524.57861328,60.0,5.4,99.4180984,2.5
