Country Name,Date,CO2 emissions (metric tons per capita),"Current health expenditure per capita, PPP (current international $)","Immunization, HepB3 (% of one-year-old children)",Low-birthweight babies (% of births),"Mortality rate, under-5 (per 1,000 live births)",People using safely managed drinking water services (% of population),Prevalence of undernourishment (% of population)
Brazil,1997,1.6835811622297,,6.0,,42.2,,
Brazil,1998,1.71251622188884,,13.0,,39.6,,
Brazil,1999,1.74455845685071,,84.0,,37.1,,
Brazil,2000,1.78882884368111,755.17840576,94.0,7.82591959999999,34.7,75.99606802,
Brazil,2001,1.80342619486481,791.76177979,91.0,7.92955879999999,32.5,76.56129687,10.7
Brazil,2002,1.76720718153163,832.12243652,92.0,8.0230093,30.4,77.04836801,9.3
Brazil,2003,1.70150864276186,797.09814453,97.0,8.106431,28.4,77.32908456,7.9
Brazil,2004,1.77580703557726,848.67529297,96.0,8.1799908,26.5,77.60419859,6.8
Brazil,2005,1.77572199746423,883.00604248,98.0,8.24384399999999,24.8,77.87380706,6.5
Brazil,2006,1.77490938079997,960.44641113,99.0,8.29815669999999,23.2,78.1382912,6.2
Brazil,2007,1.84883593997795,1029.32397461,99.0,8.343092,21.8,78.39773752,5.6
Brazil,2008,1.9380268626479,1066.5234375,96.0,8.37881089999999,20.6,78.65221598,5.1
Brazil,2009,1.80946064296739,1113.91650391,99.0,8.4054613,19.5,78.90124496,4.4
Brazil,2010,2.03220381623177,1136.12316895,96.0,8.4232264,18.6,79.14548167,3.9
Brazil,2011,2.11184451477929,1171.34875488,98.0,8.432251,17.9,79.38738202,3.4
Brazil,2012,2.26687811082304,1164.03771973,96.0,8.43271159999999,17.2,79.62451905,3.1
Brazil,2013,2.40185952057599,1243.45043945,96.0,8.42476459999999,16.7,80.41174261,2.8
Brazil,2014,2.49936201612059,1319.8001709,96.0,8.40855789999999,16.3,81.19584995,2.6
Brazil,2015,2.34736573083425,1313.59729004,96.0,8.3842697,15.9,81.97630358,2.5
Brazil,2016,2.14349752363003,1307.14978027,89.0,,16.7,82.69040002,2.5
Brazil,2017,2.16442150357383,1375.66247559,93.0,,15.4,83.52582053,2.5
Brazil,2018,2.04187419904738,1438.76733398,93.0,,15.2,84.2947419,2.5
Chile,1997,3.41939833603258,,,,12.2,,
Chile,1998,3.43242797175755,,,,11.9,,
