Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Ecuador,ECU,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,194.50372314,228.74015808,283.26434326,354.36846924,396.18756104,425.10095215,458.40240479,442.92028809,475.65856934,502.57952881,556.01300049,638.51135254,697.28253174,758.59094238,787.590271,828.57769775,803.28778076,863.04669189,931.47210693,934.51940918,..,..
Ecuador,ECU,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,36,69,75,82,88,92,96,94,93,91,90,88,88,87,83,78,83,85,85,85,70,..
Ecuador,ECU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,58.20304683,58.75802328,59.26655874,59.74420979,60.2214417,60.69800623,61.17390579,61.64964051,62.12471337,62.59912586,63.0731279,63.53851286,63.99779835,64.45679449,64.91525851,65.37367203,65.83156127,66.18117482,66.3946973,66.60985564,66.8266645,..
Ecuador,ECU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,35.6,33.4,31.3,29.5,28,26.6,25.4,24.4,23.5,22.6,21.7,20.8,19.9,19,18.1,17.3,16.6,15.9,15.4,14.8,14.4,13.9,13.4,13,..
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.97047104800695,1.91663710689777,1.66531252860749,1.6851819826998,1.81344301747007,1.79480829446421,1.79211496342694,1.86961391957718,1.96371446246409,2.07050396749387,2.06903006137003,2.08314127798103,2.19501121262897,2.30828971120997,2.32880266415025,2.36718144300356,2.51027011155773,2.58277544547861,2.51171630534427,2.36551607544329,2.2495799314593,2.31381230047905,..,..,..
Ecuador,ECU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,21,22.7,22.7,22.7,22.4,22.8,22.1,21.3,16,12.3,8.5,9.1,9,8.9,9,9.7,10.7,11.2,12.4,..,..
Ecuador,ECU,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,12.020149,11.933716,11.8548829999999,11.779671,11.7155539999999,11.648101,11.593368,11.539621,11.487988,11.439944,11.394401,11.34648,11.299795,11.253563,11.2161899999999,11.180641,..,..,..,..,..,..
Colombia,COL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,373.70169067,403.09939575,398.79968262,418.98571777,448.68075562,500.03945923,566.74676514,628.62506104,689.51837158,742.59661865,751.30706787,779.00866699,802.7008667,884.24035645,946.68365479,988.09460449,1040.21240234,1088.16516113,1133.58605957,1204.29772949,..,..
Colombia,COL,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,85,75,77,78,80,78,92,89,93,93,93,92,92,88,85,92,91,90,91,91,92,92,94,88,..
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,68.81058488,69.16243521,69.51044458,69.85462994,70.19455987,70.5302658,70.8617815,71.06397687,71.26051971,71.4514642,71.63641566,71.81544321,71.98906116,72.15687944,72.31897619,72.47583227,72.62751108,72.74865169,72.88915478,72.95185947,73.00935643,..
